*Model	Length	63	125	250	500	1k	2k	4k	8k	Free Area (%)	Code
07E	1800	-7	-13	-26	-40	-48	-38	-27	-20	27	RT07EQS
07F	2100	-9	-19	-34	-46	-51	-44	-33	-25	27	RT07FQS
07G	2400	-10	-22	-38	-49	-52	-47	-35	-27	27	RT07GQS
10A	600	-3	-5	-9	-15	-17	-14	-10	-8	33	RT10AQS
10B	900	-4	-7	-13	-22	-24	-20	-14	-11	33	RT10BQS
10C	1200	-5	-9	-17	-28	-32	-25	-17	-13	33	RT10CQS
10D	1500	-6	-12	-21	-34	-40	-30	-21	-15	33	RT10DQS
10E	1800	-7	-15	-26	-39	-43	-35	-24	-17	33	RT10EQS
10F	2100	-8	-17	-29	-42	-46	-38	-26	-19	33	RT10FQS
10G	2400	-8	-19	-33	-46	-48	-42	-29	-20	33	RT10GQS
12A	600	-3	-4	-8	-14	-14	-12	-8	-7	38	RT12AQS
12B	900	-4	-6	-11	-20	-21	-17	-11	-10	38	RT12BQS
12C	1200	-4	-8	-15	-26	-28	-22	-15	-11	38	RT12CQS
12D	1500	-5	-10	-18	-32	-35	-27	-18	-12	38	RT12DQS
12E	1800	-6	-12	-22	-36	-39	-32	-21	-14	38	RT12EQS
12F	2100	-7	-13	-26	-40	-43	-35	-23	-16	38	RT12FQS
12G	2400	-8	-15	-29	-43	-46	-39	-25	-18	38	RT12GQS
15A	600	-2	-3	-7	-13	-13	-10	-7	-6	43	RT15AQS
15B	900	-3	-5	-10	-18	-19	-14	-10	-9	43	RT15BQS
15C	1200	-3	-6	-13	-24	-25	-19	-13	-10	43	RT15CQS
15D	1500	-3	-8	-17	-30	-31	-24	-16	-10	43	RT15DQS
15E	1800	-4	-10	-21	-34	-35	-28	-18	-12	43	RT15EQS
15F	2100	-5	-12	-24	-38	-39	-31	-19	-14	43	RT15FQS
15G	2400	-6	-13	-27	-41	-42	-34	-21	-16	43	RT15GQS
17A	600	-2	-3	-6	-11	-12	-9	-6	-5	47	RT17AQS
17B	900	-3	-4	-9	-16	-17	-12	-8	-7	47	RT17BQS
17C	1200	-3	-6	-12	-22	-22	-16	-10	-7	47	RT17CQS
17D	1500	-3	-7	-16	-27	-28	-20	-12	-8	47	RT17DQS
17E	1800	-3	-9	-19	-32	-33	-24	-14	-9	47	RT17EQS
17F	2100	-4	-10	-21	-35	-36	-26	-16	-10	47	RT17FQS
17G	2400	-4	-11	-24	-39	-40	-29	-18	-11	47	RT17GQS
20A	600	-1	-3	-6	-10	-10	-7	-5	-4	50	RT20AQS
20B	900	-2	-4	-9	-15	-15	-10	-7	-6	50	RT20BQS
20C	1200	-2	-5	-12	-20	-19	-14	-8	-6	50	RT20CQS
20D	1500	-2	-6	-15	-26	-23	-18	-8	-7	50	RT20DQS
20E	1800	-3	-8	-18	-30	-28	-21	-11	-8	50	RT20EQS
20F	2100	-3	-9	-20	-34	-32	-23	-13	-9	50	RT20FQS
20G	2400	-3	-10	-22	-37	-36	-25	-15	-10	50	RT20GQS
22A	600	-1	-2	-5	-9	-9	-6	-4	-4	53	RT22AQS
22B	900	-2	-3	-7	-13	-13	-8	-6	-5	53	RT22BQS
